Sn,Bi,In,Ti,T
92.9,3,2.5,0.1,64.6
92.7,3,2.5,0.3,62.59
92.5,3,2.5,0.5,72.05
91.9,3,3.5,0.1,66.6
91.7,3,3.5,0.3,70.29
91.5,3,3.5,0.5,68.33
91.9,4,2.5,0.1,77.65
91.7,4,2.5,0.3,80.49
91.5,4,2.5,0.5,81.03
90.9,4,3.5,0.1,78.59
90.7,4,3.5,0.3,84.98
90.5,4,3.5,0.5,87.58
90.9,5,2.5,0.1,87.42
90.7,5,2.5,0.3,94.48
90.5,5,2.5,0.5,95.07
89.9,5,3.5,0.1,92.51
89.7,5,3.5,0.3,89.85
89.5,5,3.5,0.5,90.41
86.8,5.5,5.5,0.7,106.65
86.9,5.5,5.4,0.7,110.56
86.9,5.5,5.5,0.6,113.44
92.5,2.5,3.4,0.1,65.51
92.6,2.5,3.3,0.1,62.67
92.4,2.5,3.4,0.2,65.4
92.4,1.5,4.5,0.1,74.64
92.2,1.5,4.7,0.1,78.49
92.4,1.5,4.4,0.2,73.94
