feature1,feature2,feature3,feature4,score1,score2
91.2,3.900000000000002,3.1000000000000014,0.3,76.4119762221716,16.419340148538055
91.1,4.000000000000002,3.1000000000000014,0.3,77.32209327643146,16.076018704458154
91.0,4.100000000000002,3.1000000000000014,0.3,78.22721711037353,15.733172250273164
90.9,4.200000000000003,3.1000000000000014,0.3,79.12456190939257,15.391917880610194
93.5,1.6,3.200000000000001,0.2,59.19860465468236,21.7192549234907
91.4,3.600000000000002,3.200000000000001,0.3,74.14960466033075,17.301253909926075
91.3,3.700000000000002,3.200000000000001,0.3,75.05498186076791,16.96172436329643
91.2,3.800000000000002,3.200000000000001,0.3,75.96345134428047,16.61940196731259
91.1,3.900000000000002,3.200000000000001,0.3,76.87264763774249,16.275663560689836
91.0,4.000000000000002,3.200000000000001,0.3,77.78001753972103,15.93179056224708
90.9,4.100000000000002,3.200000000000001,0.3,78.68284249630365,15.588965779741415
90.79999999999998,4.100000000000002,3.200000000000001,0.4,80.05865621495785,15.08786224926643
93.4,1.6,3.3000000000000016,0.2,59.75012462683459,21.707128948756292
93.3,1.7000000000000002,3.3000000000000016,0.2,60.24820636289068,21.688208588229397
91.4,3.5000000000000018,3.3000000000000016,0.3,73.70628002904516,17.488577679543962
91.3,3.600000000000002,3.3000000000000016,0.3,74.6012808404857,17.15089718300693
91.2,3.700000000000002,3.3000000000000016,0.3,75.50211598022986,16.809617449418337
91.1,3.800000000000002,3.3000000000000016,0.3,76.40662850616984,16.466191072745413
91.0,3.900000000000002,3.3000000000000016,0.3,77.31243807761521,16.121977114865196
90.9,4.000000000000002,3.3000000000000016,0.3,78.21695488981041,15.778233562927287
90.8,4.000000000000002,3.3000000000000016,0.4,79.58434236668526,15.256717180813384
90.8,4.100000000000002,3.3000000000000016,0.3,79.11740482860245,15.436115354628967
90.7,4.100000000000002,3.3000000000000016,0.4,80.53830173716607,14.93436608373105
90.7,4.200000000000003,3.3000000000000016,0.3,80.01086450782368,15.096677760599121
90.6,4.200000000000003,3.3000000000000016,0.4,81.48184872185838,14.614471610484898
90.5,4.3000000000000025,3.3000000000000016,0.4,82.41173364451319,14.297981990392847
93.3,1.6,3.4000000000000017,0.2,60.3054358936156,21.681450592711638
93.2,1.7000000000000002,3.4000000000000017,0.2,60.805537473767146,21.657042017482496
92.8,2.1000000000000005,3.4000000000000017,0.2,63.034268537402376,21.342683501237644
91.6,3.200000000000001,3.4000000000000017,0.3,71.53190903646569,18.314378693145038
91.5,3.3000000000000016,3.4000000000000017,0.3,72.39174207032133,17.993176666633623
91.4,3.4000000000000017,3.4000000000000017,0.3,73.26307392290364,17.66428265276734
91.4,3.5000000000000018,3.4000000000000017,0.2,72.93750910464932,17.782623244267427
91.3,3.5000000000000018,3.4000000000000017,0.3,74.14444991481727,17.329339245078998
91.29999999999998,3.600000000000002,3.4000000000000017,0.2,73.73968797225378,17.439891231378137
91.2,3.600000000000002,3.4000000000000017,0.3,75.03419165878644,16.98993942632238
91.1,3.700000000000002,3.4000000000000017,0.3,75.93037925786042,16.647605145395566
91.0,3.800000000000002,3.4000000000000017,0.3,76.83084489643514,16.3037709918563
90.9,3.900000000000002,3.4000000000000017,0.3,77.7331782142676,15.959773014009134
90.8,4.000000000000002,3.4000000000000017,0.3,78.63474320056488,15.616842634417374
90.7,4.000000000000002,3.4000000000000017,0.4,80.04685679201653,15.095485814342664
90.7,4.100000000000002,3.4000000000000017,0.3,79.53270580272432,15.276105578998838
90.59999999999998,4.100000000000002,3.4000000000000017,0.4,81.00144863962534,14.775345500076906
90.6,4.200000000000003,3.4000000000000017,0.3,80.42407095633575,14.938585668270921
90.5,4.200000000000003,3.4000000000000017,0.4,81.94589068043608,14.458197676715526
90.4,4.3000000000000025,3.4000000000000017,0.4,82.87684876013667,14.144951809531012
90.29999999999998,4.400000000000002,3.4000000000000017,0.4,83.79096093255606,13.836441712612496
90.2,4.400000000000002,3.4000000000000017,0.5,84.89951677168753,13.395231684206115
90.2,4.500000000000003,3.4000000000000017,0.4,84.6848930188882,13.533438364289667
90.1,4.500000000000003,3.4000000000000017,0.5,85.80744107399377,13.124901191202143
93.2,1.6,3.5000000000000018,0.2,60.861543220906206,21.641818028938353
93.1,1.7000000000000002,3.5000000000000018,0.2,61.3620276061454,21.611557868944395
93.0,1.8000000000000005,3.5000000000000018,0.2,61.885022617480665,21.55966011543122
92.8,2.0000000000000004,3.5000000000000018,0.2,62.99403630840692,21.389203848946174
92.7,2.1000000000000005,3.5000000000000018,0.2,63.57768977996905,21.270115917535914
92.6,2.2000000000000006,3.5000000000000018,0.2,64.17921206370374,21.12838473729633
91.7,3.1000000000000014,3.5000000000000018,0.2,70.27151879937841,18.946823144662396
91.6,3.200000000000001,3.5000000000000018,0.2,71.01800847997819,18.628101047682314
91.5,3.200000000000001,3.5000000000000018,0.3,71.9726805053163,18.152433537670483
91.5,3.3000000000000016,3.5000000000000018,0.2,71.77767941409193,18.300404918338845
91.4,3.3000000000000016,3.5000000000000018,0.3,72.82549172296208,17.828185335614034
91.4,3.4000000000000017,3.5000000000000018,0.2,72.54991930859762,17.9655030998588
91.3,3.4000000000000017,3.5000000000000018,0.3,73.69036486799652,17.496937052281464
91.3,3.5000000000000018,3.5000000000000018,0.2,73.33382526888758,17.625091943314153
91.2,3.5000000000000018,3.5000000000000018,0.3,74.56587907400348,17.16032838950615
91.1,3.600000000000002,3.5000000000000018,0.3,75.45036513223923,16.819939813896987
91.0,3.700000000000002,3.5000000000000018,0.3,76.34189186351581,16.47727386112777
90.9,3.800000000000002,3.5000000000000018,0.3,77.23826381609882,16.133741142797536
90.8,3.900000000000002,3.5000000000000018,0.3,78.13703015988575,15.790650937942885
90.7,4.000000000000002,3.5000000000000018,0.3,79.03550424457993,15.44920626757526
90.6,4.100000000000002,3.5000000000000018,0.3,79.93079298440792,15.11050339290677
90.5,4.200000000000003,3.5000000000000018,0.3,80.81983493801943,14.775535668965931
90.4,4.200000000000003,3.5000000000000018,0.4,82.39415042847858,14.298431492718551
90.3,4.3000000000000025,3.5000000000000018,0.4,83.32574584196232,13.989022637589215
